@relation relation name
@attribute FIPS_COUNTY integer
@attribute FIPS_STATE integer
@attribute USUAL_FOOD_SPEND integer
@attribute TOTAL_FOOD_SPEND_LAST_WEEK integer
@attribute FOOD_WOULD_SPEND_MORE integer
@attribute FOOD_SPEND_INCREASE_WEEK integer
@attribute RECEIVED_SNAP integer
@data
19,6,90,280,3,-1,-1
19,6,90,280,3,-1,-1
19,6,260,260,3,-1,-1
19,6,260,260,3,-1,-1
19,6,-1,-1,-1,-1,-1
19,6,-1,-1,-1,-1,-1
19,6,-1,-1,-1,-1,-1
19,6,-1,-1,-1,-1,-1
19,6,-1,-1,-1,-1,-1
19,6,80,130,3,-1,1
19,6,80,130,3,-1,1
73,6,-1,460,-1,-1,-1
73,6,-1,460,-1,-1,-1
73,6,-1,460,-1,-1,-1
73,6,-1,460,-1,-1,-1
73,6,300,330,2,-1,-1
73,6,300,330,2,-1,-1
73,6,80,160,2,-1,2
73,6,80,160,2,-1,2
111,6,500,630,3,-1,2
111,6,500,630,3,-1,2
111,6,500,630,3,-1,2
111,6,500,630,3,-1,2
111,6,500,630,3,-1,2
111,6,70,120,3,-1,1
111,6,70,120,3,-1,1
111,6,70,120,3,-1,1
111,6,70,120,3,-1,1
97,17,-1,-1,-1,-1,-1
97,17,-1,-1,-1,-1,-1
111,17,50,170,3,-1,-1
111,17,50,170,3,-1,-1
111,17,50,170,3,-1,-1
111,17,250,250,3,-1,-1
111,17,250,250,3,-1,-1
111,17,250,250,3,-1,-1
111,17,250,250,3,-1,-1
111,17,180,180,3,-1,-1
111,17,180,180,3,-1,-1
111,17,180,180,3,-1,-1
111,17,180,180,3,-1,-1
111,17,180,180,3,-1,-1
119,17,-1,-1,-1,-1,-1
119,17,-1,-1,-1,-1,-1
163,17,-1,-1,-1,-1,-1
163,17,200,200,3,-1,-1
163,17,200,200,3,-1,-1
179,17,120,120,3,-1,-1
179,17,120,120,3,-1,-1
19,18,60,50,3,-1,2
19,18,60,60,3,-1,-1
21,26,-1,-1,-1,-1,-1
99,26,-1,-1,-1,-1,-1
99,26,170,140,2,-1,2
99,26,170,140,2,-1,2
99,26,170,140,2,-1,2
99,26,170,140,2,-1,2
99,26,170,140,2,-1,2
99,26,170,140,2,-1,2
99,26,80,80,3,-1,-1
99,26,80,80,3,-1,-1
121,26,-1,-1,-1,-1,2
121,26,-1,-1,-1,-1,2
121,26,-1,-1,-1,-1,2
121,26,-1,-1,-1,-1,-1
125,26,-1,-1,-1,-1,-1
125,26,-1,-1,-1,-1,-1
125,26,-1,-1,-1,-1,-1
125,26,-1,-1,-1,-1,-1
125,26,90,70,3,-1,2
161,26,130,130,2,-1,-1
161,26,130,130,2,-1,-1
161,26,200,250,2,-1,-1
161,26,200,250,2,-1,-1
161,26,200,250,2,-1,-1
163,27,-1,-1,-1,-1,-1
3,32,250,320,2,-1,-1
3,32,250,320,2,-1,-1
3,32,250,320,2,-1,-1
3,32,250,320,2,-1,-1
3,32,-1,-1,-1,-1,-1
17,41,40,90,2,-1,-1
3,32,-1,-1,-1,-1,-1
3,1,100,90,2,-1,-1
3,1,200,180,3,-1,-1
3,1,200,180,3,-1,-1
3,1,200,180,3,-1,-1
3,1,200,180,3,-1,-1
3,1,200,180,3,-1,-1
3,1,200,170,3,-1,2
3,1,200,170,3,-1,2
81,1,-1,10,-1,-1,-1
97,1,150,150,2,-1,-1
97,1,150,150,2,-1,-1
13,4,150,270,2,-1,-1
13,4,150,270,2,-1,-1
13,4,250,370,2,-1,-1
13,4,250,370,2,-1,-1
13,4,250,230,2,-1,-1
13,4,210,210,1,150,-2
13,4,210,210,1,150,-2
13,4,210,210,1,150,-2
13,4,210,210,1,150,-2
13,4,50,40,3,-1,2
13,4,50,40,3,-1,2
13,4,40,80,3,-1,2
13,4,60,100,3,-1,2
13,4,60,100,3,-1,2
13,4,60,100,3,-1,2
13,4,60,100,3,-1,2
13,4,60,60,2,-1,-1
13,4,200,350,2,-1,-1
13,4,200,350,2,-1,-1
13,4,200,350,2,-1,-1
13,4,200,350,2,-1,-1
13,4,360,360,1,100,2
13,4,360,360,1,100,2
13,4,360,360,1,100,2
13,4,360,360,1,100,2
13,4,150,240,2,-1,-1
13,4,150,240,2,-1,-1
13,4,150,240,2,-1,-1
13,4,150,240,2,-1,-1
13,4,30,70,2,-1,2
13,4,210,210,2,-1,2
13,4,210,210,2,-1,2
13,4,210,210,2,-1,2
13,4,140,130,2,-1,2
13,4,160,270,2,-1,2
13,4,160,270,2,-1,2
13,4,100,300,2,-1,-1
19,4,130,130,3,-1,-1
19,4,130,130,3,-1,-1
19,4,200,170,2,-1,-1
19,4,200,170,2,-1,-1
19,4,200,170,2,-1,-1
19,4,100,90,3,-1,2
19,4,100,90,3,-1,2
19,4,100,90,3,-1,2
19,4,130,130,3,-1,-1
19,4,130,130,3,-1,-1
21,4,80,190,2,-1,-1
21,4,250,480,2,-1,-1
21,4,250,480,2,-1,-1
25,4,100,0,1,50,2
25,4,100,0,1,50,2
25,4,0,200,1,100,-1
25,4,0,200,1,100,-1
25,4,230,230,2,-1,-1
25,4,230,230,2,-1,-1
25,4,130,130,3,-1,-1
25,4,130,130,3,-1,-1
27,4,250,180,1,200,-1
27,4,250,180,1,200,-1
27,4,250,180,1,200,-1
27,4,250,180,1,200,-1
27,4,250,180,1,200,-1
27,4,-1,-1,-1,-1,-1
1,6,500,420,3,-1,-1
