"FIPS_COUNTY","FIPS_STATE","USUAL_FOOD_SPEND","TOTAL_FOOD_SPEND_LAST_WEEK","FOOD_NEED_MORE","FOOD_SPEND_INCREASE_WEEK","RECEIVED_SNAP","NOT_AFFORD_BALANCED_MEALS"
"000","02",500,460,2,-1,-1,-1
"000","02",500,460,2,-1,-1,-1
"000","02",500,460,2,-1,-1,-1
"000","02",500,460,2,-1,-1,-1
"000","05",280,220,3,-1,-1,-1
"000","05",280,220,3,-1,-1,-1
"000","05",280,220,3,-1,-1,-1
"000","05",-1,-1,-1,-1,-1,-1
"000","05",-1,-1,-1,-1,-1,-1
"000","05",100,100,1,100,2,2
"000","05",100,100,1,100,2,2
"000","05",100,100,1,100,2,2
"000","05",110,70,2,-1,2,3
"000","05",350,260,1,100,-1,3
"000","05",350,260,1,100,-1,3
"000","05",350,260,1,100,-1,3
"000","05",350,260,1,100,-1,3
"000","05",350,260,1,100,-1,3
"000","05",350,260,1,100,-1,3
"000","05",-1,-1,-1,-1,-1,-1
"019","06",90,280,3,-1,-1,-1
"019","06",90,280,3,-1,-1,-1
"019","06",260,260,3,-1,-1,-1
"019","06",260,260,3,-1,-1,-1
"019","06",-1,-1,-1,-1,-1,-1
"019","06",-1,-1,-1,-1,-1,-1
"019","06",-1,-1,-1,-1,-1,-1
"019","06",-1,-1,-1,-1,-1,-1
"019","06",-1,-1,-1,-1,-1,-1
"019","06",80,130,3,-1,1,3
"019","06",80,130,3,-1,1,3
"000","06",-1,-1,-1,-1,-1,-1
"000","06",-1,-1,-1,-1,-1,-1
"073","06",-1,460,-1,-1,-1,-1
"073","06",-1,460,-1,-1,-1,-1
"073","06",-1,460,-1,-1,-1,-1
"073","06",-1,460,-1,-1,-1,-1
"073","06",300,330,2,-1,-1,-1
"073","06",300,330,2,-1,-1,-1
"073","06",80,160,2,-1,2,2
"073","06",80,160,2,-1,2,2
"111","06",500,630,3,-1,2,3
"111","06",500,630,3,-1,2,3
"111","06",500,630,3,-1,2,3
"111","06",500,630,3,-1,2,3
